,nom,version,price,model,localisation,carburant
272,VOLKSWAGEN  Tiguan,,Appeler pour le prix,2019,Casablanca,Diesel
273,HYUNDAI  Tucson2023,2023,320 000 Dhs,2023,Casablanca,Diesel
274,HYUNDAI  Tucson2022,2022,265 000 Dhs,2022,Casablanca,Diesel
275,RENAULT  Kadjar,,195 000 Dhs,2021,Casablanca,Diesel
276,BMW  Serie 12,2,280 000 Dhs,2020,Casablanca,Diesel
277,VOLKSWAGEN  Arteon,,240 000 Dhs,2019,Casablanca,Diesel
278,PEUGEOT  208,,156 000 Dhs,2022,Casablanca,Diesel
279,LAND-ROVER  Range rover evoque,,245 000 Dhs,2018,Casablanca,Diesel
280,HYUNDAI  Tucson,,Appeler pour le prix,2022,Fes,Diesel
281,PEUGEOT  Rifter,,Appeler pour le prix,2021,Fes,Diesel
282,CITROEN  C3,,Appeler pour le prix,2019,Fes,Diesel
283,RENAULT  Kangoo,,Appeler pour le prix,2018,Fes,Diesel
284,VOLKSWAGEN  Tiguan,,Appeler pour le prix,2017,Fes,Diesel
285,PORSCHE  911,,Appeler pour le prix,2007,Casablanca,Essence
286,PORSCHE  Macan,,Appeler pour le prix,2016,Casablanca,Diesel
287,BMW  Serie 2,,Appeler pour le prix,2014,Casablanca,Diesel
288,AUDI  Q5 sportback,,Appeler pour le prix,2022,Casablanca,Diesel
289,VOLVO  Xc90Xc90,Xc90,Appeler pour le prix,2019,Casablanca,Diesel
290,MERCEDES  Classe c coupe250d pack amg,250d pack amg,Appeler pour le prix,2017,Tanger,Diesel
291,MERCEDES  Classe c,,315 000 Dhs,2015,Tanger,Diesel
292,MERCEDES  Classe c,,325 000 Dhs,2015,Tanger,Diesel
293,MERCEDES  Autre,,490 000 Dhs,2017,Tanger,Diesel
294,PORSCHE  Macan,,Appeler pour le prix,2015,Tanger,Diesel
295,PEUGEOT  308 sw,,73 000 Dhs,2008,Casablanca,Essence
296,MERCEDES  Classe ml,,98 000 Dhs,2011,Casablanca,Diesel
297,PEUGEOT  307,,73 000 Dhs,2008,Casablanca,Diesel
298,CITROEN  C6Prestige,Prestige,84 000 Dhs,2010,Casablanca,Diesel
299,LAND-ROVER  Range rover sport,,118 000 Dhs,2011,Casablanca,Diesel
300,ALFA-ROMEO  Autre,,330 000 Dhs,2022,Casablanca,Hybride
301,ALFA-ROMEO  Giulietta,,229 000 Dhs,2023,Casablanca,Diesel
302,DODGE  Caliber,,330 000 Dhs,2023,Casablanca,Essence
303,JEEP  Compass,,345 000 Dhs,2022,Casablanca,Hybride
304,JEEP  Compass,,260 000 Dhs,2022,Casablanca,Essence
305,JEEP  Renegade,,235 000 Dhs,2020,Casablanca,Diesel
306,FIAT  500x,,250 000 Dhs,2023,Casablanca,Essence
307,FIAT  Doblo,,167 999 Dhs,2023,Casablanca,Diesel
308,FIAT  Panda,,115 000 Dhs,2023,Casablanca,Essence
309,FIAT  500,,145 000 Dhs,2023,Casablanca,Essence
310,RENAULT  Kadjar,,225 000 Dhs,2020,Casablanca,Diesel
311,FIAT  Ducato,,129 000 Dhs,2019,Casablanca,Diesel
312,PEUGEOT  Partner,,88 000 Dhs,2019,Casablanca,Diesel
313,FIAT  Doblo,,99 000 Dhs,2018,Casablanca,Diesel
314,FIAT  Fiorino,,88 000 Dhs,2018,Casablanca,Diesel
315,DACIA  Dokker van,,125 000 Dhs,2021,Casablanca,Diesel
316,JAGUAR  Xf,,Appeler pour le prix,2016,Casablanca,Diesel
317,AUDI  Q8,,Appeler pour le prix,2023,Casablanca,Diesel
318,AUDI  Q3 sportback,,Appeler pour le prix,2022,Casablanca,Diesel
319,MERCEDES  Classe c coupe,,Appeler pour le prix,2017,Casablanca,Diesel
320,RENAULT  Megane sedan,,Appeler pour le prix,2021,Casablanca,Diesel
321,MERCEDES  Classe e,,509 000 Dhs,2021,Casablanca,Diesel
322,FORD  Kuga,,310 000 Dhs,2021,Casablanca,Diesel
323,MERCEDES  Classe c,,Appeler pour le prix,2019,Casablanca,Diesel
324,MERCEDES  Classe e,,Appeler pour le prix,2022,Casablanca,Diesel
325,AUDI  Q5,,Appeler pour le prix,2018,Casablanca,Diesel
326,MERCEDES  Classe e coupe,,Appeler pour le prix,2017,Casablanca,Diesel
327,MERCEDES  Classe e coupe,,Appeler pour le prix,2017,Casablanca,Diesel
328,MITSUBISHI  L200,,125 000 Dhs,2015,Casablanca,Diesel
329,RENAULT  Clio1.5 dci,1.5 dci,131 500 Dhs,2021,Casablanca,Diesel
330,RENAULT  Captur,,177 000 Dhs,2021,Casablanca,Essence
331,DACIA  Dokker,,102 000 Dhs,2019,Casablanca,Diesel
332,DACIA  Logan,,89 000 Dhs,2018,Casablanca,Diesel
333,PEUGEOT  2008Active,Active,158 000 Dhs,2018,Rabat,Diesel
334,VOLKSWAGEN  PassatTdi,Tdi,77 000 Dhs,2004,Agadir,Diesel
335,HYUNDAI  Tucson,,225 000 Dhs,2018,Rabat,Diesel
336,BMW  Serie 5,,214 000 Dhs,2014,Rabat,Diesel
337,JEEP  Grand cherokee,,249 000 Dhs,2019,Rabat,Diesel
338,SKODA  Octavia,,Appeler pour le prix,2020,Marrakech,Diesel
339,FORD  Focus 5p,,Appeler pour le prix,2023,Marrakech,Diesel
340,FORD  Focus 5p,,Appeler pour le prix,2023,Marrakech,Diesel
341,OPEL  Astra,,Appeler pour le prix,2018,Marrakech,Diesel
342,HYUNDAI  Grand i10,,Appeler pour le prix,2020,Marrakech,Essence
343,AUDI  A3 sportback,,265 000 Dhs,2016,Casablanca,Diesel
344,AUDI  Q52.0 tdi,2.0 tdi,233 000 Dhs,2014,Casablanca,Diesel
345,LAND-ROVER  Range rover evoque,,325 000 Dhs,2018,Casablanca,Diesel
346,TOYOTA  C-hr,,205 000 Dhs,2019,Casablanca,Hybride
347,VOLKSWAGEN  Golf 7,,350 000 Dhs,2019,Casablanca,Diesel
348,JEEP  Cherokee,,48 999 Dhs,2003,Rabat,Essence
