Marque;Modèle;Année-Modèle;Kilométrage;Type de carburant;Puissance fiscale;Boite de vitesses;Première main;État;Prix
Renault;Kadjar;2016;120 000 - 129 999;Diesel;6;Manuelle;Oui;Très bon;170000
Skoda;Octavia;2016;200 000 - 249 999;Diesel;8;Manuelle;Oui;Très bon;165000
Kia;Sportage;2008;190 000 - 199 999;Diesel;8;Manuelle;Oui;;80000
Renault;Clio;2017;60 000 - 64 999;Diesel;6;Automatique;Oui;Excellent;125000
Citroen;Berlingo;2019;70 000 - 74 999;Diesel;6;Manuelle;Oui;Très bon;150000
Fiat;Doblo;2016;100 000 - 109 999;Diesel;5;Manuelle;Non;Très bon;79000
Fiat;FIORINO;2019;80 000 - 84 999;Diesel;5;Manuelle;;;102000
Renault;Kadjar;2016;110 000 - 119 999;Diesel;6;Manuelle;Oui;Excellent;175000
Volkswagen;Passat;2005;250 000 - 299 999;Diesel;8;Manuelle;Non;Excellent;79000
Toyota;Corolla;2008;250 000 - 299 999;Diesel;8;Manuelle;Non;Bon;80000
Fiat;TIPO;2021;50 000 - 54 999;Diesel;6;Manuelle;Oui;Excellent;125000
Volkswagen;PASSAT CC;2017;150 000 - 159 999;Diesel;8;Automatique;Non;Excellent;195000
Volkswagen;Touran;2016;200 000 - 249 999;Diesel;6;Automatique;;;197000
Peugeot;Bipper;2012;200 000 - 249 999;Diesel;6;Manuelle;;Très bon;74000
Mercedes-Benz;220;2011;250 000 - 299 999;Diesel;8;Automatique;Non;Très bon;168000
Volkswagen;GOLF 4;2002;25 000 - 29 999;Diesel;8;Manuelle;Non;;75000
Ford;C-Max;2013;200 000 - 249 999;Diesel;6;Manuelle;Oui;;119999
Dacia;Logan;2015;130 000 - 139 999;Diesel;6;Manuelle;Oui;Bon;80000
Hyundai;Santa Fe;2010;190 000 - 199 999;Diesel;8;Automatique;Non;Très bon;96000
Dacia;Sandero;2014;130 000 - 139 999;Diesel;6;Manuelle;Non;Excellent;76000
Ford;Fiesta;2010;130 000 - 139 999;Essence;7;Manuelle;Oui;Excellent;75000
Volkswagen;GOLF 5;2008;170 000 - 179 999;Diesel;8;Manuelle;Non;Très bon;77000
Peugeot;3008;2018;85 000 - 89 999;Diesel;8;Automatique;;Excellent;234000
Peugeot;508;2016;150 000 - 159 999;Diesel;8;Manuelle;;Excellent;125000
Opel;Astra;2015;130 000 - 139 999;Diesel;8;Automatique;Non;Excellent;118000
Dacia;Duster;2021;20 000 - 24 999;Diesel;6;Manuelle;Oui;Excellent;190000
Volkswagen;GOLF PLUS;2006;180 000 - 189 999;Diesel;8;Manuelle;Non;Très bon;82000
